year,reported_count_millions,qualifier,action_scope,source_title,source_published,source_url,comparison_note
2019,75,more than,policy-violating reviews removed,Google Maps 101: how contributed content makes a more helpful map,2020-02-19,https://blog.google/products-and-platforms/products/maps/google-maps-101-how-contributed-content-makes-maps-helpful/,Google used removed rather than blocked or removed
2020,55,,policy-violating reviews blocked or removed,Maps 101: A look at how we tackle fake and fraudulent contributed content,2021-02-18,https://blog.google/products-and-platforms/products/maps/google-maps-101-how-we-tackle-fake-and-fraudulent-contributed-content/,Google attributed the year-over-year decline partly to reduced review activity during COVID-19
2021,95,more than,policy-violating reviews blocked or removed,How we kept information on Maps reliable in 2021,2022-03-24,https://blog.google/products-and-platforms/products/maps/how-we-kept-maps-reliable-2021/,More than 1 million user-reported reviews were taken down separately
2022,115,over,policy-violating reviews blocked or removed,New ways we tackle fake contributions on Google Maps,2023-03-31,https://blog.google/products-and-platforms/products/maps/google-maps-fake-contributions-ai-machine-learning/,Google said the majority were caught before being seen
2023,170,over,policy-violating reviews blocked or removed,How machine learning keeps contributed content helpful,2024-02-13,https://blog.google/products-and-platforms/products/maps/how-machine-learning-keeps-contributed-content-helpful/,Google reported this as over 45% more than 2022
2024,240,more than,policy-violating reviews blocked or removed,New ways AI helps keep business information trustworthy,2025-04-07,https://blog.google/products-and-platforms/products/maps/google-business-profiles-ai-fake-reviews/,Google said the vast majority were removed before being seen
2025,292,over,policy-violating reviews blocked or removed,New ways we are protecting businesses on Maps,2026-04-16,https://blog.google/products-and-platforms/products/maps/new-ways-were-protecting-businesses-on-maps/,Google separately reported 1.14 billion reviews published in its transparency report
