reporting_year,geographic_scope,status,reported_share_percent,illustrative_per_10000,approximate_implied_volume,source_url
2025,Global,Recommended,70,7000,15400000,https://blog.yelp.com/news/2025-trust-and-safety-report/
2025,Global,Not recommended,17,1700,3740000,https://blog.yelp.com/news/2025-trust-and-safety-report/
2025,Global,Removed by Yelp,11,1100,2420000,https://blog.yelp.com/news/2025-trust-and-safety-report/
2025,Global,Removed by reviewers,2,200,440000,https://blog.yelp.com/news/2025-trust-and-safety-report/
